file_name,Transcription,phrase,merged_prompt,word_error_rate,character_error_rate
1249120_15004831_103229689.wav, my son had his lip pierced and it is swollen and the skin inside on his lip is gray and looks infected,my son had his lip pierced and it is swollen and the skin inside on his lip is grey and looks infected,Wound and injury,0.0455,0.0196
1249120_15004831_93767590.wav, my back hurts so much i cant bend down to tie my shoelaces,my back hurts so much i cant bend down to tie my shoelaces,"Neck, back or spinal issues",0.0,0.0172
1249120_15830408_55921206.wav, i was travelling by ship and i feel dizzy,i was travelling by ship and i feel dizzy,Dizziness and vertigo,0.0,0.0244
1249120_15830408_37803938.wav, i do not know why i feel cold,i do not know why i feel cold,Feeling cold/hot,0.0,0.0345
1249120_2171654_19438090.wav, my hair is falling out after i take a shower,my hair is falling out after i take a shower,Hair and skin issues,0.0,0.0227
1249120_13842059_64044535.wav, i have a feeling like my whole body is complaining,i have a feeling like my whole body is complaining,Muscle and joint pain,0.0,0.02
1249120_13842059_36985247.wav, i feel dizzy and out of sight,i feel dizzy and out of sight,Dizziness and vertigo,0.0,0.0345
1249120_1853182_104613772.wav, i feel pain in my neck while im working,i feel pain in my neck while im working,"Neck, back or spinal issues",0.0,0.0256
1249120_15004831_80093096.wav, i complain a lot with skin allergy,i complain alot with skin allergy,Hair and skin issues,0.3333,0.0606
1249120_14353703_29225925.wav, i have a throbbing in my joints,i have a throbbing in my joints,Muscle and joint pain,0.0,0.0323
1249120_1853182_22487381.wav, ive had this cough for two weeks,ive had this cough for two weeks,Respiratory issue,0.0,0.0312
1249120_15004831_43783926.wav, when i get up i feel dizzy and fall down,when i get up i feel dizzy and fall down,Dizziness and vertigo,0.0,0.025
1249120_15004831_20587565.wav, im having a hard time reading because the letters are all fuzzy,im having a hard time reading because the letters are all fuzzy,Sensory issues,0.0,0.0159
1249120_15004831_83170404.wav, there is this pain that radiates from my chest up to my left arm,there is this pain that radiates from my chest up to my left arm,Chest pain,0.0,0.0156
1249120_6338946_49886993.wav, my left side aches much,my left side aches much,Internal pain,0.0,0.0435
1249120_14353703_83543281.wav, i got injured exercising,i got injured exercising,Wound and injury,0.0,0.0417
1249120_15004831_71961366.wav, sometimes i cough because i am a smoker,sometimes i cough because im a smoker,Respiratory issue,0.2857,0.0811
1249120_1853182_19905600.wav, i was playing basketball yesterday i have sprained ankle,i was playing basketball yesterday i have sprained ankle,Wound and injury,0.0,0.0179
1249120_6338946_43939076.wav, my shoulder hurts me so much,my shoulder hurts me so much,Shoulder pain,0.0,0.0357
1249120_2171654_71989604.wav, i have an earache when i go to the pool,i have a ear ache when i go to the pool,Sensory issues,0.2727,0.0769
1249120_1853182_12144833.wav, i feel depressed when i see my hair falling out,i feel depressed when i see my hair falling out,Hair and skin issues,0.0,0.0213
1249120_15830408_35382218.wav, when i force my eyes to view i have blurry vision,when i force my eyes to view i have blurry vision,Sensory issues,0.0,0.0204
1249120_6338946_63123514.wav, when i play football i have muscle pain,when i play football i have muscle pain,Muscle and joint pain,0.0,0.0256
1249120_15830408_94297385.wav, i have eruptions on my face that come and go,i have eruptions on my face that come and go ,Hair and skin issues,0.0,0.0444
1249120_6338946_108388847.wav, my neck hurts me and i cant stand with this pain,my neck hurts me and i cant stand with this pain,"Neck, back or spinal issues",0.0,0.0208
1249120_15965551_99791985.wav, im not good im feeling so cold,im not good im feeling so cold,Feeling cold/hot,0.0,0.0333
1249120_14353703_78646084.wav, my entire body is freezing,my entire body is freezing,Feeling cold/hot,0.0,0.0385
1249120_1853182_100689643.wav, i feel a burning sensation in my shoulder muscle,i feel a burning sensation in my shoulder muscle,Muscle and joint pain,0.0,0.0208
1249120_1853182_28883766.wav, i got a divorce last year and i just cant stop dwelling on how to get revenge on my exhusband,i got a divorce last year and i just cant stop dwelling on how to get revenge on my ex husband,Emotional and mental health,0.0952,0.0213
1249120_6338946_79218256.wav, my head aches since i woke up this morning,my head ache since i woke up this morning,,0.1111,0.0488
1249120_1853182_16171679.wav, i am feeling so dizzy body is so fragile,i am feeling so dizzy body is so fragile,General weakness,0.0,0.025
1249120_13842059_95082870.wav, sometimes i feel like a claw on my chest that leaves me breathless,sometimes i feel like a claw on my chest that leaves me breathless,,0.0,0.0152
1249120_14353703_92298432.wav, my neck is annoying me i cant sleep because of it,my neck is annoying me i cant sleep bacause of it,"Neck, back or spinal issues",0.0909,0.0408
1249120_17632529_72644850.wav, i was playing basketball yesterday i have sprained ankle,i was playing basketball yesterday i have sprained ankle,Wound and injury,0.0,0.0179
1249120_6338946_14309885.wav, my ear hurts me badly,my ear hurts me badly,Sensory issues,0.0,0.0476
1249120_15830408_74933291.wav, i feel very hard to breathe,i feel very hard to breathe,,0.0,0.037
1249120_1853182_75761633.wav, i feel increased heart rate with prick,i feel increased heart rate with prick,Chest pain,0.0,0.0263
1249120_14054543_14236676.wav, i have apnea in my face and other problems in my derma like itching,i have acne in my face and other problema in my derma like itching,Hair and skin issues,0.1429,0.0606
1249120_17632529_62680983.wav, i feel pain when i think of her,i feel pain when i think of her,Emotional and mental health,0.0,0.0323
1249120_15965551_85311616.wav, i have injured myself during the soccer match,i have injured myself during the soccer match,Wound and injury,0.0,0.0222
1249120_17632529_27636563.wav, i break out on my face very frequently,i break out on my face very frequently,Hair and skin issues,0.0,0.0263
1249120_1853182_95096394.wav, my arm hurts when i stretch,my arm hurts when i stretch,Muscle and joint pain,0.0,0.037
1249120_6338946_18792627.wav, longitudinal burning line across back with hard respiratory movements,longitudinal burning line across back with hard respiratory movements,"Neck, back or spinal issues",0.0,0.0145
1249120_15004831_13536344.wav, i have a hair shortage,i have a hair shortage,Hair and skin issues,0.0,0.0455
1249120_15830408_19526724.wav, i started taking swimming lessons and i guess i swallowed too much water through my nose because this sinusitis is killing me now,i started taking swimming lessons and i guess i swallowed too much water through my nose because this sinusitis is killing me now,Wound and injury,0.0,0.0078
1249120_13842059_63309891.wav, i feel pain inside i dont know what it is,i feel pain inside i do not know what it is,Internal pain,0.1818,0.0698
1249120_13842059_12420758.wav, i feel a sharp pain in my ankle joint when i stand,i feel a sharp pain in my ankle joint when i stand,Muscle and joint pain,0.0,0.02
1249120_14353703_48660231.wav, i have shoulder pain when i try to carry my groceries,i have shoulder pain when i try to carry my groceries,Shoulder pain,0.0,0.0189
1249120_15004831_100921051.wav, my stomach aches after i drink any soda drink why,my stomach aches after i drink any soda drink why,Digestive issues,0.0,0.0204
1249120_15830408_100458275.wav, i have acne in my face and other problems in my derma like itching,i have acne in my face and other problema in my derma like itching,Hair and skin issues,0.0714,0.0303
1249120_6338946_85710292.wav, the last time i clipped my toenails i cut them too short and now i have an infected nail,the last time i clipped my toenails i cut them too short and now i have an infected nail,Wound and injury,0.0,0.0114
1249120_15830408_17444382.wav, i love to garden but i get a terrible twinge in my lower back when i lean over,i love to garden but i get a terrible twinge in my lower back when i lean over,"Neck, back or spinal issues",0.0,0.0128
1249120_6338946_75933476.wav, i think i overdid it when i carried all that lumber from the yard my lower back is killing me,i think i overdid it when i carried all that lumber from the yard my lower back is killing me,"Neck, back or spinal issues",0.0,0.0108
1249120_2171654_102887397.wav, i have blurry vision after i used a wrong medicine,i have blurry vision after i used a wrong medicine,Sensory issues,0.0,0.02
1249120_14353703_98831982.wav, i feel a soreness in my knees when i walk,i feel a soreness in my knees when i walk,Muscle and joint pain,0.0,0.0244
1249120_14353703_23494896.wav, the area around my heart doesnt feel good,the area around my heart doesnt feel good,Chest pain,0.0,0.0244
1249120_1853182_48590607.wav, i have difficulty breathing in crowded places,i have difficulty in breathing in crowded places,,0.125,0.0833
1249120_13842059_55538328.wav, i have a break in the skin between my thumb and index finger and it will not close,i have a break in the skin between my thumb and index finger and it will not close,Wound and injury,0.0,0.0122
1249120_15965551_41232322.wav, when i raise my hand i feel pain in my shoulder,when i raise my hand i feel pain in my shoulder,Shoulder pain,0.0,0.0213
1249120_1853182_12060422.wav, oh my head hurts me i tried to be calm and i cant,oh my heart hurts me i tried to be calm and i cant,Chest pain,0.0769,0.06
1249120_13842059_72691774.wav, i often get a stomach ache after i eat i havent been able to plan point which foods might be the trigger,i often get a stomach ache after i eat  i havent been able to pinpoint which foods might be the trigger,Digestive issues,0.0952,0.0485
1249120_14353703_49287804.wav, i love to garden but i get a terrible twinge in my lower back when i lean over,i love to garden but i get a terrible twinge in my lower back when i lean over,"Neck, back or spinal issues",0.0,0.0128
1249120_15830408_37988192.wav, i am having running nose,i am having running nose,Feeling cold/hot,0.0,0.0417
1249120_15004831_35646374.wav, i think my body temperature is very low,i think my body temperature is very low,Feeling cold/hot,0.0,0.0256
1249120_6338946_95204514.wav, i cant stand with this horrible feeling in my stomach,i cant stand with this horrible feeling in my stomach,Digestive issues,0.0,0.0189
1249120_6338946_45821188.wav, i cant stand up i feel my brain is moving inside my skull,i cant stand up i feel my brain is moving inside my skull,,0.0,0.0175
1249120_1853182_94150189.wav, my wound was infected when i was planting some flowers in my garden,my wound was infected when i was planting some flowers in my garden,Wound and injury,0.0,0.0149
1249120_14054543_78596230.wav, i have a pain in my stomach,i have a pain in my stomach,Internal pain,0.0,0.037
1249120_2171654_58828948.wav, the warming system of my house is broken and feels so cold,the warming system of my house is broken and  feel so cold,Feeling cold/hot,0.0833,0.0517
1249120_6338946_100134591.wav, my ear hurts when i touch it,my ear hurts when i touch it,Sensory issues,0.0,0.0357
1249120_1853182_56750588.wav, i feel that its hard to breathe for me especially after running or making any effort,i feel that its hard to breath for me specially after running or making any effort,,0.125,0.0366
1249120_15830408_17297780.wav, im disappointed,im disappointed,Emotional and mental health,0.0,0.0667
1249120_13842059_99076771.wav, my airache when i am listening to music,my ear ache when im listening to music,Sensory issues,0.5,0.1579
1249120_15830408_74646148.wav, i have a hard muscle pain since i went to the gym,i have a hard muscle pain since i went to the gym,Muscle and joint pain,0.0,0.0204
1249120_6338946_69351278.wav, i feel pain in my legs muscles after i ran yesterday i took some painkillers but it doesnt help,i feel pain in my legs muscles after i ran yesterday i took some pain killers but it doesnt help,Muscle and joint pain,0.1,0.0208
1249120_13842059_91612242.wav, i have tried to relieve it but i cant,i have tried to relief it but i cant,General weakness,0.1111,0.0833
1249120_14353703_41100151.wav, it is like i have a needle pushing through my heart,it is like i have a needle pushing through my heart,Chest pain,0.0,0.0196
1249120_1853182_98369408.wav, it is hard to breathe when im in the underground metro station why,it is hard to breath when i am in the underground metro station why,,0.2143,0.0597
1249120_15004831_71037307.wav, i am having problems seeing things feel like a cloud in my eyes everything is blurry,i am having problems seeing things feel like a cloud on my eyes everything is blurry,Sensory issues,0.0625,0.0238
1249120_15004831_53028981.wav, whenever i stand up i feel dizzy,whenever i stand up i feel dizzy,Dizziness and vertigo,0.0,0.0312
1249120_15965551_35401223.wav, i have terrible pain in my heart,i have terrible pain in my heart,Chest pain,0.0,0.0312
1249120_13842059_55129614.wav, i have a break in the skin inside one of my nostrils that has become infected and is now filled with pus,i have a break in the skin inside one of my nostrils that has become infected and is now filled with pus,Wound and injury,0.0,0.0096
1249120_15004831_56405823.wav, theyre pain in my foot,there pain in my foot,Leg and foot pain,0.2,0.0952
1249120_1853182_93232694.wav, i have a blurry vision during my swimming training in the pool why,i have a blurry vision during my swimming training in the pool why,Sensory issues,0.0,0.0152
1249120_2171654_41770159.wav, i have acne in my face and other problema in my derma like itching,i have acne in my face and other problema in my derma like itching,Hair and skin issues,0.0,0.0152
1249120_15004831_88007774.wav, this long score on my left butt talk is from falling off my mountain bike,this long scar on my left buttock is from falling off my mountain bike,Wound and injury,0.2143,0.1
1249120_15830408_80479236.wav, when i raise my hand i feel pain in my shoulder,when i raise my hand i feel pain in my shoulder,Shoulder pain,0.0,0.0213
1249120_6338946_32796166.wav, im injured i cant play sports,im injured i cant play sports,Wound and injury,0.0,0.0345
1249120_13842059_18949363.wav, i was playing soccer and i twisted my ankle,i was playing soccer and i twisted my ankle,Wound and injury,0.0,0.0233
1249120_15004831_23170013.wav, i feel a pain in my neck,i feel a pain in my neck,"Neck, back or spinal issues",0.0,0.0417
1249120_15004831_72078546.wav, chronic bone disease at the level of the doubles of the lower extremidates,chronic bone disease at the level of the doubles of the lower estremidades,Leg and foot pain,0.0769,0.0405
1249120_15004831_12021665.wav, i feel a stiffness in my elbows and shoulders,i fell a stiffness in my elbows and shoulders,Muscle and joint pain,0.1111,0.0444
1249120_15004831_69709527.wav, i feel pain in my body,i feel pain in my body,Internal pain,0.0,0.0455
1249120_17632529_41187706.wav, i feel hurt lot of pain in my heart,i feel hurt lot of pain in my heart,Emotional and mental health,0.0,0.0286
1249120_2171654_68349696.wav, my nose is congested all the time and theres this gluey secretion in my throat that makes it impossible for me to sleep i often have to nap sitting down,my nose is congested all the time and theres this gluey secretion in my throat that makes it impossible for me to sleep i often have to nap sitting down,,0.0,0.0066
1249120_1853182_20103370.wav, i cant carry anything i have a pain in my shoulder,i cant carry anything i have a pain in my shoulder,Shoulder pain,0.0,0.02
1249120_15965551_67804099.wav, i get a knee pain when i walk a lot,i get a knee pain when i walk a lot,Leg and foot pain,0.0,0.0286
1249120_6338946_62766927.wav, i cough a lot when i smell perfume what is wrong with my lungs,i cough a lot when i smell perfume what is wrong with my lungs,Respiratory issue,0.0,0.0161
1249120_2171654_72266245.wav, i feel a soreness in my knees when i walk,i feel a soreness in my knees when i walk,Muscle and joint pain,0.0,0.0244
1249120_13842059_92379589.wav, i feel pain in my right shoulder after the tennis match,i feel pain in my right shoulder after the tennis match,Wound and injury,0.0,0.0182
1249120_15830408_45907625.wav, i feel a soreness in my knees when i walk,i feel a soreness in my knees when i walk,Muscle and joint pain,0.0,0.0244
1249120_13842059_20940439.wav, i feel a tightness in my chest,i feel a tightness in my chest,,0.0,0.0333
1249120_6338946_34608804.wav, i have a cut on my foot that became infected from using the showers at the gym,i have a cut on my foot that became infected from using the showers at the gym,Wound and injury,0.0,0.0128
1249120_13842059_77775569.wav, i feel pain in my back,i feel pain in my back,"Neck, back or spinal issues",0.0,0.0455
1249120_17632529_12148940.wav, i have a sharp pain in my neck,i have a sharp pain in my neck,"Neck, back or spinal issues",0.0,0.0333
1249120_17632529_69017104.wav, my wound was infected when i was planting some flowers in my garden,my wound was infected when i was planting some flowers in my garden,Wound and injury,0.0,0.0149
1249120_2171654_15523921.wav, i am having running nose,i am having running nose,Feeling cold/hot,0.0,0.0417
1249120_13842059_40335111.wav, the pain in my ear is unbearable,the pain in my ear is unbearable,Sensory issues,0.0,0.0312
1249120_13842059_35924031.wav, i feel pain in my eyes i can see fog,i feel pain in my eyes i can see fog,Sensory issues,0.0,0.0278
1249120_6338946_30170394.wav, i cant ride my car at night because i have blurry vision,i cant ride my car at night because i have blurry vision,Sensory issues,0.0,0.0179
1249120_2171654_51607090.wav, i do not know why i feel cold,i do not know why i feel cold,Feeling cold/hot,0.0,0.0345
1249120_15830408_49631021.wav, i have blurry vision and i cant see in the darkness what is the reason doctor,i have a blurry vision and i cant see in the darkness  what is the reason doctor ,Sensory issues,0.0588,0.0617
1249120_15004831_103019463.wav, i have acne all over my face,i have acne all over my face,Hair and skin issues,0.0,0.0357
1249120_2171654_15700530.wav, yesterday i had shoulder pain,yesterday i had a shouder pain,Shoulder pain,0.3333,0.1333
1249120_17632529_61627685.wav, i have an open wound in my arm,i have an open wound in my arm,Wound and injury,0.0,0.0333
1249120_14353703_65062339.wav, my nose is congested all the time and theres this gluey secretion in my throat that makes it impossible for me to sleep i often have to nap sitting down,my nose is congested all the time and theres this gluey secretion in my throat that makes it impossible for me to sleep i often have to nap sitting down,,0.0,0.0066
1249120_15830408_84643418.wav, i feel a great pain in my shoulder when i try to lift something heavy,i feel a great pain in my shoulder when i try to lift something heavy,Shoulder pain,0.0,0.0145
1249120_17632529_72353055.wav, i feel weak,i feel weak,General weakness,0.0,0.0909
1249120_17632529_21875553.wav, my kneecap feels like it is grating bone on bone when i walk,my kneecap feels like it is grating bone on bone when i walk,Leg and foot pain,0.0,0.0167
1249120_13842059_55866997.wav, my stomach aches after i drink any soda why,my stomach aches after i drink any soda drink why,Digestive issues,0.1,0.1429
1249120_2171654_56923849.wav, my neck is annoying me i cant sleep because of it,my neck is annoying me i cant sleep bacause of it,"Neck, back or spinal issues",0.0909,0.0408
1249120_15004831_54034570.wav, i have a foot ache although i dont walk a lot,i have a foot ache although i dont walk a lot,Leg and foot pain,0.0,0.0222
1249120_2171654_36549904.wav, i love to garden but i get a terrible twinge in my lower back when i lean over,i love to garden but i get a terrible twinge in my lower back when i lean over,"Neck, back or spinal issues",0.0,0.0128
1249120_15004831_30046759.wav, i feel pain in my back,i feel pain in my back,"Neck, back or spinal issues",0.0,0.0455
1249120_15830408_79309819.wav, i feel dizzy when i sit in front of my laptop for an hour or two what possibly could be the reason,i feel dizzy when i set infront of my laptop for an hour or two what possibly could be the reason,Dizziness and vertigo,0.1429,0.0309
1249120_15004831_74682993.wav, i feel a tightness in my chest,i feel a tightness in my chest,,0.0,0.0333
1249120_1853182_108211492.wav, i feel hurt a lot of pain in my heart,i feel hurt lot of pain in my heart,Emotional and mental health,0.1111,0.0857
1249120_15004831_109863958.wav, i have difficulty moving my neck,i have difficulty moving my neck,"Neck, back or spinal issues",0.0,0.0312
1249120_15830408_46145042.wav, i have throbbing in my joints,i have a throbbing in my joints,Muscle and joint pain,0.1429,0.0968
1249120_13842059_57540056.wav, my knees ache on cold and rainy days,my knees ache on cold and rainy days,Leg and foot pain,0.0,0.0278
1249120_1853182_20242420.wav, i feel like painting the wall,i feel pain in the lower back,"Neck, back or spinal issues",0.5714,0.5517
1249120_15004831_68584765.wav, im suffering from sharp cough accompanied by phlegm,im suffering from sharp cough accompanied by  phlegm,Respiratory issue,0.0,0.0385
1249120_15965551_82958180.wav, the area around my heart doesnt feel good,the area around my heart doesnt feel good,Chest pain,0.0,0.0244
1249120_6338946_95779210.wav, my ankle is hurting me,my ankle is hurting me,Muscle and joint pain,0.0,0.0455
1249120_13842059_55474114.wav, i feel pain in my foot,i feel pain in my foot,Leg and foot pain,0.0,0.0455
1249120_15830408_87042261.wav, my entire body is freezing,my entire body is freezing,Feeling cold/hot,0.0,0.0385
1249120_13842059_72683703.wav, i had a cold the last time i traveled by plane and i still have discomfort in my ears,i had a cold the last time i travelled by plane and i still have a discomfort in my ears,Sensory issues,0.1,0.0455
1249120_6338946_65091298.wav, i have a sharp pain and clicking sound in my ankle joint when i try to stand on it and walk,i have a sharp pain and clicking sound in my ankle joint when i try to stand on it and walk,Muscle and joint pain,0.0,0.011
1249120_13842059_64943737.wav, i get terrible headaches every few months and when i get done my vision is affected,i get terrible headaches every few months and when i get them my vision is affected,,0.0625,0.0602
1249120_6338946_57435861.wav, i get tired too fast i can barely put on my clothes in the morning,i get tired too fast i can barely put on my clothes in the morning,General weakness,0.0,0.0152
1249120_13842059_28311301.wav, sometimes i cough because i am a snoker,sometimes i cough because im a smoker,Respiratory issue,0.4286,0.1081
1249120_15004831_72284888.wav, my chest hurts when i smoke,my chest hurts when i smoke,Internal pain,0.0,0.037
1249120_13842059_19662889.wav, i have pimples and patches along with a lot of redness on my face,i have pimples in patches along with a lot of redness on my face,Hair and skin issues,0.0714,0.0469
1249120_2171654_104363236.wav, i have eruptions on my face that come and go,i have eruptions on my face that come and go ,Hair and skin issues,0.0,0.0444
1249120_13842059_96006573.wav, my shower drain is full of hair every time,my shower drain is full of hair every time,Hair and skin issues,0.0,0.0238
1249120_14353703_44429790.wav, i feel dizzy when i sit in front of my laptop for an hour or two what possibly could be the reason,i feel dizzy when i set infront of my laptop for an hour or two what possibly could be the reason,Dizziness and vertigo,0.1429,0.0309
1249120_6338946_97962298.wav, i cant walk because i have a great foot ache,i cant walk because i have a great foot ache,Leg and foot pain,0.0,0.0227
1249120_14353703_99001242.wav, when i raise my hand i feel pain in my shoulder,when i raise my hand i feel pain in my shoulder,Shoulder pain,0.0,0.0213
1249120_2171654_31081785.wav, i have a hard muscle pain since i went to the gym,i have a hard muscle pain since i went to the gym,Muscle and joint pain,0.0,0.0204
1249120_1853182_58291933.wav, i feel pain in my heart when i wake up,i feel pain in my heart when i wake up,Chest pain,0.0,0.0263
1249120_6338946_73054929.wav, i feel pain in my shoulders when i write on the keyboard,i feel pain in my shoulders when i write on the keyboard,Shoulder pain,0.0,0.0179
1249120_15830408_23240699.wav, i had an accident and my wound was open when i arrived to hospital,i had an accident and my wound was open when i arrived to hospital,Wound and injury,0.0,0.0152
1249120_6338946_37878461.wav, i feel lightheaded,i feel lightheaded,Dizziness and vertigo,0.0,0.0556
1249120_13842059_46589335.wav, i have a foot ache adult i dont walk a lot,i have a foot ache although i dont walk a lot,Leg and foot pain,0.0909,0.1556
1249120_15004831_90007572.wav, i see pain in my eyes i can see fog,i feel pain in my eyes i can see fog,Sensory issues,0.1,0.0833
1249120_1853182_67194097.wav, i have a dull ache in my head,i have a dull ache in my head,,0.0,0.0345
1249120_2171654_46240770.wav, i got injured exercising,i got injured exercising,Wound and injury,0.0,0.0417
1249120_15830408_39530967.wav, i usually have a bad cough when i get blue,i usually have a bad cough when i get flu,Respiratory issue,0.1,0.0732
1249120_1853182_67762065.wav, im having a hard time reading because the letters are all fuzzy,im having a hard time reading because the letters are all fuzzy,Sensory issues,0.0,0.0159
1249120_13842059_62150593.wav, my muscle in my shoulder burns when i move my arm,my muscle in my shoulder burns when i move my arm,Muscle and joint pain,0.0,0.0204
1249120_17632529_20793910.wav, my body feels weak and i try to make it relax but it still pains me,my body feels weak and i tried to make it relax but it stills pain me,General weakness,0.1875,0.087
1249120_13842059_51065552.wav, i am having problems seeing things feel like a cloud on my eyes everything is blurry,i am having problems seeing things feel like a cloud on my eyes everything is blurry,Sensory issues,0.0,0.0119
1249120_15004831_53846275.wav, i had a cold the last time i traveled by plane and i still have a discomfort in my ears,i had a cold the last time i travelled by plane and i still have a discomfort in my ears,Sensory issues,0.05,0.0227
